City,State,Population, Density ,DPF,Latitude,Longitude,Median HHInc
Rancho Cucamonga,California,176534,4147,732.09,,,
Gilbert,Arizona,237133,3067,727.29,,,
El Cajon,California,103768,6892,715.17,,,
West Covina,California,107847,6614,713.3,,,
Santa Rosa,California,175155,4064,711.83,,,
Oceanside,California,175464,4052,710.98,,,
Kansas City,Missouri,481420,1460,702.87,,,
Henderson,Nevada,292969,2392,700.78,,,
Laredo,Texas,257156,2655,682.75,,,
Baton Rouge,Louisiana,227715,2982,679.05,,,
Miami Gardens,Florida,113058,5878,664.55,,,
Coral Springs,Florida,130059,5090,662,,,
Corona,California,166785,3925,654.63,,,
Orlando,Florida,277173,2327,644.98,,,
Fremont,California,233136,2764,644.39,,,
Akron,Ohio,197633,3210,634.4,,,
Burbank,California,104447,5959,622.4,,,
Corpus Christi,Texas,325733,1900,618.89,,,
Elk Grove,California,169743,3627,615.66,,,
Greensboro,North Carolina,287027,2131,611.65,,,
Oklahoma City,Oklahoma,638367,956,610.28,,,
Vancouver,Washington,174826,3483,608.92,,,
Santa Clarita,California,181972,3345,608.7,,,
Fort Wayne,Indiana,264488,2293,606.47,,,
Eugene,Oregon,166575,3572,595.01,,,
Escondido,California,151613,3909,592.66,,,
Boise,Idaho,223154,2592,578.42,,,
Miramar,Florida,138449,4134,572.35,,,
Ontario,California,173212,3282,568.48,,,
Durham,North Carolina,263016,2127,559.44,,,
Des Moines,Iowa,215472,2516,542.13,,,
Bellevue,Washington,141400,3828,541.28,,,
Salem,Oregon,167419,3229,540.6,,,
Ventura,California,109592,4915,538.64,,,
Naperville,Illinois,147122,3659,538.32,,,
Reno,Nevada,245255,2186,536.13,,,
Pasadena,Texas,153351,3485,534.43,,,
Warren,Michigan,135125,3899,526.85,,,
Lakewood,Colorado,154393,3334,514.75,,,
Concord,California,128726,3996,514.39,,,
North Las Vegas,Nevada,238702,2141,511.06,,,
Vista,California,101659,5000,508.3,,,
Gresham,Oregon,111523,4551,507.54,,,
Hayward,California,158937,3181,505.58,,,
West Valley City,Utah,136574,3642,497.4,,,
Ann Arbor,Michigan,120782,4094,494.48,,,
Clearwater,Florida,114361,4213,481.8,,,
Newport News,Virginia,181825,2630,478.2,,,
Lubbock,Texas,252506,1875,473.45,,,
Sterling Heights,Michigan,132427,3553,470.51,,,
Clovis,California,106583,4386,467.47,,,
Thornton,Colorado,136703,3409,466.02,,,
Santa Maria,California,106290,4375,465.02,,,
Grand Prairie,Texas,190682,2433,463.93,,,
Vallejo,California,121299,3780,458.51,,,
Rialto,California,103314,4437,458.4,,,
Pompano Beach,Florida,109393,4160,455.07,,,
Visalia,California,131074,3433,449.98,,,
Overland Park,Kansas,188966,2317,437.83,,,
Carrollton,Texas,133351,3281,437.52,,,
Mesquite,Texas,143736,3038,436.67,,,
Fort Collins,Colorado,164207,2653,435.64,,,
Roseville,California,132671,3279,435.03,,,
Woodbridge,New Jersey,101389,4290,434.96,,,
Boulder,Colorado,108090,3947,426.63,,,
Stamford,Connecticut,129113,3258,420.65,,,
Winston_Salem,North Carolina,242203,1734,419.98,,,
Waterbury,Connecticut,108272,3870,419.01,,,
Kent,Washington,127514,3228,411.62,,,
Lakewood,New Jersey,100758,4030,406.05,,,
Cary,North Carolina,162320,2488,403.85,,,
Hillsboro,Oregon,105164,3833,403.09,,,
Antioch,California,110898,3611,400.45,,,
Renton,Washington,100953,3933,397.05,,,
Richardson,Texas,113347,3474,393.77,,,
Centennial,Colorado,109932,3495,384.21,,,
Westminster,Colorado,113875,3363,382.96,,,
Amarillo,Texas,199582,1917,382.6,,,
McAllen,Texas,142212,2687,382.12,,,
Richmond,California,109813,3449,378.75,,,
Simi Valley,California,126327,2995,378.35,,,
Temecula,California,113054,3320,375.34,,,
Rockford,Illinois,147651,2503,369.57,,,
Shreveport,Louisiana,194920,1891,368.59,,,
Lansing,Michigan,116020,3171,367.9,,,
Sioux Falls,South Dakota,174360,2109,367.73,,,
Manchester,New Hampshire,110506,3310,365.77,,,
West Jordan,Utah,113699,3195,363.27,,,
McKinney,Texas,172298,2108,363.2,,,
Hampton,Virginia,135410,2673,361.95,,,
Clinton,Michigan,100392,3560,357.4,,,
Dayton,Ohio,140489,2543,357.26,,,
Arvada,Colorado,117453,3029,355.77,,,
Round Rock,Texas,120892,2928,353.97,,,
Joliet,Illinois,148262,2374,351.97,,,
Tallahassee,Florida,190894,1809,345.33,,,
Murrieta,California,111674,3081,344.07,,,
Killeen,Texas,143400,2387,342.3,,,
Edison,New Jersey,101996,3339,340.56,,,
Knoxville,Tennessee,186239,1816,338.21,,,
Everett,Washington,109043,3080,335.85,,,
Lexington,Kentucky,318449,1043,332.14,,,
Springfield,Missouri,167319,1952,326.61,,,
Elgin,Illinois,112123,2911,326.39,,,
